id,sin,cobertura,fec_ocu,causa,ent_mun,tipo_perd,monto_ded,monto_ocu
42588,661030,1,20230101,6,1001,1,0,0.01
282530,747715,1,20240729,6,1001,1,0,0.01
8316,608166,1,20220526,6,1001,1,4385,17934.88
189238,714688,1,20240122,6,1001,1,0,0.1
294735,750249,1,20240806,6,1001,1,0,0.01
339,648146,1,20221221,6,1001,3,0,0
122486,701953,1,20230101,7,1001,4,0,1814.4
337159,768500,1,20241117,7,1001,4,0,1222.4
193307,720328,1,20240224,7,1001,4,0,3346.44
191617,713098,1,20240113,6,1005,1,3490,13244.87
25797,605577,2,20220512,6,2001,3,0,0
48084,651754,1,20230101,7,2001,4,0,2392
251453,770342,1,20241127,6,2001,5,0,10000
307452,770333,1,20241115,6,2001,5,0,299789.51
281560,733974,1,20240502,6,2002,5,0,0.01
176279,671346,1,20230427,6,2004,1,6470.75,21959.75
225743,735487,1,20240522,6,2004,1,0,0
168894,723881,1,20240308,6,3008,1,20360,28287.72
167196,710852,1,20231227,7,3008,4,0,1512
64638,672825,1,20230101,6,4003,1,0,6481.31
37835,599236,1,20220402,6,5025,1,0,8294
237647,731755,1,20240502,6,5030,2,0,141455
301178,746322,1,20240619,7,5030,4,0,2096
63505,619553,1,20220727,7,5030,4,0,0
331971,767566,1,20241106,7,5030,4,0,3200
112094,635127,1,20221020,6,5030,5,0,29442.46
64969,630351,1,20220927,6,5035,1,0,38990
72494,626326,1,20220904,6,6002,1,0,54517.66
199639,712295,1,20240108,6,6002,1,0,0.01
114096,675301,1,20230101,7,6002,4,0,2280
320232,761123,1,20241008,6,6002,5,0,0.01
239165,733037,1,20240509,6,6009,5,0,0.01
12824,613881,1,20220625,6,6010,3,0,0
90050,688054,1,20230101,6,7012,1,0,12975
183160,730889,1,20240305,6,8017,1,0,45000
312333,755819,1,20240907,3,8037,1,0,0
81945,659782,1,20230101,6,9005,1,5067,55872.81
227504,712632,1,20240110,6,9006,1,0,0
94550,635480,1,20221023,6,9007,3,0,0
144843,656816,1,20230208,7,9007,4,1780,7120
482,594524,1,20220307,6,9007,5,0,1292.17
94550,636043,1,20221025,7,9012,2,723.4,3299.4
15213,589979,1,20220209,6,9012,5,0,0
300916,764596,2,20241027,6,9016,1,0,0
290301,762067,2,20241014,6,9017,1,0,0
86225,655506,1,20230201,6,9017,1,0,0
249305,745973,1,20240716,1,10005,1,0,0
65952,644444,2,20221201,6,10007,3,0,0
178985,684971,1,20230713,6,10012,1,0,10942.33
247875,757597,1,20240917,6,11003,5,0,15000
297257,773767,2,20241214,6,11007,1,0,0
8614,625402,1,20220829,6,11007,1,0,-10850.5
229218,731599,1,20240427,6,11007,1,0,0
142118,677356,1,20230521,6,11007,1,0,23130
115671,683644,1,20230101,7,11007,4,0,2072
174225,696310,1,20230923,7,11007,4,0,3920
248029,729818,1,20240416,7,11007,4,0,2640
255977,745768,1,20240715,6,11015,1,0,6857.01
